comment,aspect,sentiments,clean_comment
- Ngon tuyệt vời luôn !,['FOOD#QUALITY'],['positive'],ngon tuyệt vời luôn
"- Ở quán Cơm chay Thuyền Viên.- Chỉ một từ thôi: NGON 💘👍- Vẫn rất giòn dù lúc tớ là 8h30 tối, ăn rất ngon, mùi lại thơm nữa. Nêm vừa ăn, ăn chung tương ớt rất ngon (không có tương xí muội)- Giá ok: 3k/cuốn.","['FOOD#QUALITY', 'FOOD#PRICES']","['positive', 'positive']",ở quán cơm chay thuyền viên chỉ một từ thôi ngon vẫn rất giòn dù lúc tớ là 8h30 tối ăn rất ngon mùi lại thơm nữa nêm vừa ăn ăn chung tương ớt rất ngon không có tương xí muội giá ok 3k cuốn
"- Ở Quảng, tên mấy tiệm mì Quảng thường đặt tên theo người nấu ra nó, vậy nên thấy cái ""mì Quảng Bà Dzũ"" đã cảm được chất của Đà Nẵng ngay từ cái nhìn đầu tiên rồi. - Ngoài mì Quảng, quán còn rất nhiều món Quảng rất ngon như bún cá cam, bún bò Đà Nẵng (chỉ xài thịt bò, không có giò), bún mắm nêm, chè đậu ngự. Quán do 1 anh người Quảng rất Quảng nên món cũng rất Quảng. - Đặt cái tên dễ làm người ta nao lòng, tô bé đẹp, tô bé cưng, cà phê tình mê, bún mắm tình đắm,... nhìn mà phì cười. - Quán rất thoáng mát, nếu đang vội, đừng tới đây ăn, mà hãy chờ lúc nào thong thả. - Quán gì đó - Muốn quên cũng khó.","['RESTAURANT#GENERAL', 'FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'AMBIENCE#GENERAL']","['positive', 'positive', 'positive', 'positive']",ở quảng tên mấy tiệm mì quảng thường đặt tên theo người nấu ra nó vậy nên thấy cái mì quảng bà dũ đã cảm được chất của đà nẵng ngay từ cái nhìn đầu tiên rồi ngoài mì quảng quán còn rất nhiều món quảng rất ngon như bún cá cam bún bò đà nẵng chỉ xài thịt bò không có giò bún mắm nêm chè đậu ngự quán do 1 anh người quảng rất quảng nên món cũng rất quảng đặt cái tên dễ làm người ta nao lòng tô bé đẹp tô bé cưng cà phê tình mê bún mắm tình đắm nhìn mà phì cười quán rất thoáng mát nếu đang vội đừng tới đây ăn mà hãy chờ lúc nào thong thả quán gì đó muốn quên cũng khó
"- Quán tên là Cơm chay Thuyền Viên.- Ăn rất ổn, mùi thơm, rau cải giòn, mì căn không có mùi hôi dầu như nhiều chỗ mình hay ăn. Bị cái nước tương hơi dở. Nếu bạn nào chịu ăn lạt thì không cần thêm nước tương đâu 👍- Giá cũng được : 18k/đĩa- Ở đây còn bán rất nhiều món chay khác như cơm, phở, hủ tiếu, bún thái, các món ăn vặt chay, phụ liệu nấu đồ chay,... ăn rất ổn.","['FOOD#QUALITY', 'FOOD#PRICES', 'FOOD#STYLE&OPTIONS']","['neutral', 'positive', 'positive']",quán tên là cơm chay thuyền viên ăn rất ổn mùi thơm rau cải giòn mì căn không có mùi hôi dầu như nhiều chỗ mình hay ăn bị cái nước tương hơi dở nếu bạn nào chịu ăn lạt thì không cần thêm nước tương đâu giá cũng được 18 không đĩa ở đây còn bán rất nhiều món chay khác như cơm phở hủ tiếu bún thái các món ăn vặt chay phụ liệu nấu đồ chay ăn rất ổn
"- Quán trong hẻm nhưng ngay đường Nguyễn Cư Trinh nên cực kì dễ tìm- Đồ ăn đa dạng, ngon nhất vẫn là nem nướng - Giá cả hợp lý- Nhân viên phục vụ nhiệt tình- Nhất định sẽ quay lại nè","['LOCATION#GENERAL', 'FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'FOOD#PRICES', 'SERVICE#GENERAL', 'RESTAURANT#GENERAL']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive']",quán trong hẻm nhưng ngay đường nguyễn cư trinh nên cực kì dễ tìm đồ ăn đa dạng ngon nhất vẫn là nem nướng giá cả hợp lý nhân viên phục vụ nhiệt tình nhất định sẽ quay lại nè
"- Wagyu beef 360k/g x 750g at minimum for order nhen. Mình ăn medrare - Sauce Chi... đầu tiên trong menu : 70k sauce ớt chuông rau ,... với oliu oil- Sauce Blue cheese béo ngon hình như 100k , hơi nhẫn đắng- Cheese mặn đút lò ngon. Tên món  quên òi. 😜😜 hong nhớ giá luôn. Ngon thơm.- Salad A... ko nhớ tên. Size nhỏ 100k. Rau cải ngựa và hành khoanh, cheese, sốt hành. Nồng khó ăn.","['FOOD#PRICES', 'FOOD#QUALITY']","['neutral', 'neutral']",wagyu beef 360kg x 750g at minimum for đặt hàg nhen mình ăn medrare sauce chi đầu tiên trong menu 70k sauce ớt chuông rau với oliu oil sauce blue cheese béo ngon hình như 100k hơi nhẫn đắng cheese mặn đút lò ngon tên món quên òi không nhớ giá luôn ngon thơm salad anh không nhớ tên size nhỏ 100k rau cải ngựa và hành khoanh cheese sốt hành nồng khó ăn
"-Đi vô đường Chấn Hưng xiú là quán bún thịt nướng Hải Đăng nổi tiếng hơn hẳn.( có nhiều quán lắm nha)-Quán thuộc dạng bình dân, sân nhà rộng,giữ xe miễn phí.-1 phần đầy đủ là 25k,( chả giò, thịt nướng, nem); có 1 xô nước mắm inox trên mỗi bàn lun,muốn ăn bao nhiêu thì múc :)) ( có thể gọi thêm dĩa bún thêm dành cho ạ ra sức ăn mặn)-Ăn được, phục vụ nhanh gọn, có điều không nóng hổi, do làm sẵn chuẩn bị trước.Hotgirl tính tiền hehe","['LOCATION#GENERAL', 'RESTAURANT#GENERAL', 'AMBIENCE#GENERAL', 'RESTAURANT#MISCELLANEOUS', 'FOOD#PRICES', 'FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'SERVICE#GENERAL']","['neutral', 'positive', 'positive', 'positive', 'positive', 'neutral', 'positive', 'positive']",đi vô đường chấn hưng xíu là quán bún thịt nướng hải đăng nổi tiếng hơn hẳn có nhiều quán lắm nha quán thuộc dạng bình dân sân nhà rộng giữ xe miễn phí 1 phần đầy đủ là 25k chả giò thịt nướng nem có 1 xô nước mắm inox trên mỗi bàn lưng muốn ăn bao nhiêu thì múc có thể gọi thêm dĩa bún thêm dành cho lưng ra sức ăn mặn ăn được phục vụ nhanh gọn có điều không nóng hổi do làm sẵn chuẩn bị trước hotgirl tính tiền tốt
"-Quán ngay khu trung tâm, khá đông, nhất vào giờ ăn trưa, phải book chỗ trước.-Phần như hình là 1/2 bánh tráng phơi sương thịt giò:102k(1 phần thì là 173k)-Dọn kèm bánh tráng phơi sương dẻo,rau rừng tươi xanh, dĩa đồ chua, nước mắm, mắm nêm.ngoài ra quán còn cọ món tủ là bánh canh (55k), cháo sò lông( cái này mình chưa ăn nhưng thấy ai vô cũng gọi hết).Còn có chè khúc bạch không thể không nhắc ở HT.-Trà đá 4k/ly-Khăn lạnh 2kQuán nhiều khách, nhưng nhân ciên vô cùng niềm nở, dễ thương nha ^^Không thích là tính tiền giữ xe 3k thoai :(","['LOCATION#GENERAL', 'FOOD#PRICES', 'FOOD#STYLE&OPTIONS', 'DRINKS#STYLE&OPTIONS', 'SERVICE#GENERAL', 'RESTAURANT#MISCELLANEOUS']","['positive', 'neutral', 'positive', 'positive', 'positive', 'negative']",quán ngay khu trung tâm khá đông nhất vào giờ ăn trưa phải book chỗ trước phần như hình là 12 bánh tráng phơi sương thịt giò 102k 1 phần thì là 173k dọn kèm bánh tráng phơi sương dẻo rau rừng tươi xanh dĩa đồ chua nước mắm mắm nêm ngoài ra quán còn có món tủ là bánh canh 55k cháo sò lông cái này mình chưa ăn nhưng thấy ai vô cũng gọi hết còn có chè khúc bạch không thể không nhắc ở ht trà đá 4kly khăn lạnh 2k quán nhiều khách nhưng nhân viên vô cùng niềm nở dễ thương nhà không thích là tính tiền giữ xe 3k thôi
"-Trong hình là gà bó xôi truyền thống :280k-Xôi thơm dẻo, bên ngoài giòn rụm.-Gà dai dai ướp thấm gia vị.-Order trước 2 tiếng là giao tới nhà liền, nóng hổi trong hộp.-Bao bì, hộp đựng sạch sẽ, chắc chắn; được thêm bao tay nilong để xé gà nữa. 😍-Nhân viên chuyên nghiệp, dễ thương.-Order trên flyfood.vn để tham khảo thêm menu.-Nhà mình đặt 2 con gà, 1 súp, 1 bò hầm tiêu,1 gỏi củ hủ dừa hơn 1 triệu xíu mà 12 người ăn còn dư luôn nha.-Bò hầm tiêu xanh ngon lắm lắm, gỏi củ hủ dừa hơi ngọt xíu theo khẩu vị miền Nam; súp đậm đà có thịt, nấm, trứng cút nhiều lắm.-Lần sau là thử thêm nhiều món khác nữa nè hie hie😙😛🤗","['FOOD#PRICES', 'FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'SERVICE#GENERAL', 'RESTAURANT#GENERAL']","['positive', 'positive', 'positive', 'positive', 'positive']",trong hình là gà bó xôi truyền thống 280k xôi thơm dẻo bên ngoài giòn rụm gà dai dai ướp thấm gia vị đặt hàg trước 2 tiếng là giao tới nhà liền nóng hổi trong hộp bao bì hộp đựng sạch sẽ chắc chắn được thêm bao tay nilong để xé gà nữa nhân viên chuyên nghiệp dễ thương đặt hàg trên flyfood việt nam để tham khảo thêm menu nhà mình đặt 2 con gà 1 súp 1 bò hầm tiêu 1 gỏi củ hủ dừa hơn 1 triệu xíu mà 12 người ăn còn dư luôn nha bò hầm tiêu xanh ngon lắm lắm gỏi củ hủ dừa hơi ngọt xíu theo khẩu vị miền nam súp đậm đà có thịt nấm trứng cút nhiều lắm lần sau là thử thêm nhiều món khác nữa nè hi hi
"-Vị trí: Quán nằm ngay mặt tiền đường Sư Vạn Hạnh khá dễ tìm. -Đồ ăn: bánh bèo, bánh bột lọc, bánh nậm, bánh ít ram, nem huế, chả huế các loại. Bánh thơm, ngon, có điều nước mắm hơi ngọt.-Giá cả: 30k/ mâm bánh bèo chén. Dĩa thì 24k  như hình chưa có nem, chả. -Không gian: quán bình dân, hơi chật, trời này mà ngồi hơi bị nóng, quán đông, hay bị thiếu bàn. Ko có ai coi xe.","['LOCATION#GENERAL', 'FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'FOOD#PRICES', 'AMBIENCE#GENERAL', 'RESTAURANT#MISCELLANEOUS']","['positive', 'positive', 'neutral', 'neutral', 'negative', 'negative']",vị trí quán nằm ngay mặt tiền đường sư vạn hạnh khá dễ tìm đồ ăn bánh bèo bánh bột lọc bánh nậm bánh ít ram nem huế chả huế các loại bánh thơm ngon có điều nước mắm hơi ngọt giá cả 30k mâm bánh bèo chén dĩa thì 24k như hình chưa có nem chả không gian quán bình dân hơi chật trời này mà ngồi hơi bị nóng quán đông hay bị thiếu bàn không có ai coi xe
". Bên ngoài giòn giòn ăn cực thích. Bên trong cơm nhật với dưa leo, trứng, thanh cua mềm rất tuyệt",['FOOD#QUALITY'],['positive'],bên ngoài giòn giòn ăn cực thích bên trong cơm nhật với dưa leo trứng thanh cua mềm rất tuyệt
. Cấp độ 3 đã đủ sức chịu đựng của mình. Ăn vừa nóng vừa cay cay mà toát hết mồ hôi hột😢😢 vừa khẩu vị của mỗi người . Không gian có phần hơi chật nhưng thoáng và trang trí đẹp theo phong cách Hường Cuốc,"['FOOD#QUALITY', 'AMBIENCE#GENERAL']","['positive', 'neutral']",cấp độ 3 đã đủ sức chịu đựng của mình ăn vừa nóng vừa cay cay mà toát hết mồ hôi hột vừa khẩu vị của mỗi người không gian có phần hơi chật nhưng thoáng và trang trí đẹp theo phong cách hường cuốc
". Gà rán giòn ướp vị chua cay rất ngon, bánh ăn kèm giòn và thơm mùi bơ","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","['positive', 'positive']",gà rán giòn ướp vị chua cay rất ngon bánh ăn kèm giòn và thơm mùi bơ
. Lần đầu ăn ở đây thấy rất ngon mà cũng lạ chỗ mới mở tại Vincom Quang Trung nên còn nhiều món chưa có nhưng ăn ở đây sẽ no căng luôn,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","['positive', 'positive']",lần đầu ăn ở đây thấy rất ngon mà cũng lạ chỗ mới mở tại vincom quang trung nên còn nhiều món chưa có nhưng ăn ở đây sẽ no căng luôn
. Lần đầu ăn ở đây thấy rất ngon mà cũng lạ chỗ mới mở tại Vincom Quang Trung nên còn nhiều món chưa có nhưng ăn ở đây sẽ no căng luôn ❤️ Tặng kèm cả cơm và canh nếu phần đó chỉ có đồ ăn.,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'FOOD#PRICES']","['positive', 'positive', 'positive']",lần đầu ăn ở đây thấy rất ngon mà cũng lạ chỗ mới mở tại vincom quang trung nên còn nhiều món chưa có nhưng ăn ở đây sẽ no căng luôn tặng kèm cả cơm và canh nếu phần đó chỉ có đồ ăn
". Mì Cay Hàn Quốc êiii ❤️. Mì dai nah ❤️. Nhiều hải sản nah ❤️ (tôm, mực,...). Nước dùng bao cay nah ❤️❤️. Đáng đồng tiền lúmm nha ❤️❤️. Phục vụ nhiệt tình 🌸. Giá cả hợp lí neh","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'FOOD#PRICES', 'SERVICE#GENERAL']","['positive', 'positive', 'positive', 'positive']",mì cay hàn quốc êi mì dai nah nhiều hải sản nah tôm mực nước dùng bao cay nah đáng đồng tiền lúc nha phục vụ nhiệt tình giá cả hợp lí nha
". Mì hến Bắc Hà. Nước hến ngon một số chỗ có dùng bột ngọt cho nào nước mì làm mất đi vị ngọt tự nhiên của hến, ko quá cay như bên mì hến Ngô Văn Sở. Quán mát, rộng rãi 😊","['FOOD#QUALITY', 'AMBIENCE#GENERAL']","['positive', 'positive']",mì hến bắc hà nước hến ngon một số chỗ có dùng bột ngọt cho vào nước mì làm mất đi vị ngọt tự nhiên của hến không quá cay như bên mì hến ngô văn sở quán mát rộng rãi
". Xem qua chương trình ẩm thực của nghệ sĩ Việt Hương mình biết được quán này. Mình đi buổi tối quán động cực kì chỗ ngồi san sát nhau, vì số lượng khách động nên việc ngồi chờ món lâu hơn. 😤 . Vỏ bánh tráng mềm dai, bánh nóng nên ăn liền sẽ ngon hơn 😋","['RESTAURANT#GENERAL', 'SERVICE#GENERAL', 'FOOD#QUALITY']","['positive', 'negative', 'positive']",xem qua chương trình ẩm thực của nghệ sĩ việt hương mình biết được quán này mình đi buổi tối quán động cực kì chỗ ngồi san sát nhau vì số lượng khách động nên việc ngồi chờ món lâu hơn vỏ bánh tráng mềm dai bánh nóng nên ăn liền sẽ ngon hơn
"(+) Phở cuốn khá chắc, nhân nhiều, nước chấm ngon, 1 người ăn phần là vừa, ko no mấy.(-) Bánh phở hơi cứng, ko dai.Trong 2 loại mình thích pc nem hơn, nem nướng đậm vị, dùng với thêm nước chấm là tuyệt!PC Nem-45k/pPC Tôm thịt-38k/p","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'FOOD#PRICES']","['positive', 'neutral', 'neutral']",phở cuốn khá chắc nhân nhiều nước chấm ngon 1 người ăn phần là vừa không no mấy bánh phở hơi cứng không dai trong 2 loại mình thích có nem hơn nem nướng đậm vị dùng với thêm nước chấm là tuyệt có nem 45k phở tôm thịt 38k
"[ Bánh cuốn Tây Hồ - Chất lượng tuyệt vời ]Địa chỉ: 127 Đinh Tiên Hoàng, Đa Kao, Q1. Quán này nằm trên đường Đinh Tiên Hoàng cũng đã rất lâu & nổi tiếng, nên chắc bạn nào mê bánh cuốn cũng đã từng dùng bánh cuốn tại đây*** Về không gian:Không gian quán hơi nhỏ, nhiều khi vào giờ cao điểm, khách đến đông quá phải ngồi chung bàn với người khác hoặc phải đợi có chỗ mới được ngồi :(Và không có máy lạnh, chỉ có quạt máy nên cũng hơi nóng 1 chút*** Về thức ăn:1 phần bánh cuốn tuy không nhiều, nhưng vừa đủ no & cực kì chất lượng, chất lượng từ hình thức đến mùi vị- Hình thức trang trí bắt mắt- Mùi vị đậm đà với chả quế & chả lụa*** Về cung cách phục vụCó thể nói ở đây nhân viên phục vụ cũng khá chiều khách, tận tình *** Về giá cả:Có vẻ hơi đắt, nhưng mà tiền nào của nấy, bánh cuốn ở đây đã nổi tiếng từ lâu đời, nên chuyện giá đắt như vậy cũng chấp nhận được :)) Nói chung là nên dùng thử bánh cuốn tại đây, các bạn sẽ ghiền đấy !","['LOCATION#GENERAL', 'AMBIENCE#GENERAL', 'FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'SERVICE#GENERAL', 'FOOD#PRICES', 'RESTAURANT#GENERAL']","['neutral', 'negative', 'positive', 'positive', 'positive', 'neutral', 'positive']",bánh cuốn tây hồ chất lượng tuyệt vời địa chỉ 127 đinh tiên hoàng đa kao q1 quán này nằm trên đường đinh tiên hoàng cũng đã rất lâu nổi tiếng nên chắc bạn nào mê bánh cuốn cũng đã từng dùng bánh cuốn tại đây về không gian không gian quán hơi nhỏ nhiều khi vào giờ cao điểm khách đến đông quá phải ngồi chung bàn với người khác hoặc phải đợi có chỗ mới được ngồi và không có máy lạnh chỉ có quạt máy nên cũng hơi nóng 1 chút về thức ăn 1 phần bánh cuốn tuy không nhiều nhưng vừa đủ no cực kì chất lượng chất lượng từ hình thức đến mùi vị hình thức trang trí bắt mắt mùi vị đậm đà với chả quế chả lụa về cung cách phục vụ có thể nói ở đây nhân viên phục vụ cũng khá chiều khách tận tình về giá cả có vẻ hơi đắt nhưng mà tiền nào của nấy bánh cuốn ở đây đã nổi tiếng từ lâu đời nên chuyện giá đắt như vậy cũng chấp nhận được nói chung là nên dùng thử bánh cuốn tại đây các bạn sẽ ghiền đấy
"[BÁNH ĐA TRỘN - B6 TT NGHĨA TÂN]Điểm khác với mọi chỗ mình ăn là bât bưng ra nóng hổi, kiểu ăn luôn và ngay mới ngon. Vắt tầm 3 quả quất mới đáp ứng độ chua của mình. Bánh đa mềm mà vẫn dai, giò tai cắt miếng to ăn giòn giòn, miếng chả cá hơi còi cọc. Ở đây hơi giống Phùng Hưng ở chỗ là sẽ bị nhạt nên bạn gọi thêm xì dầu nhé30k/bát đầy đặn, nước dùng khá thơm dậy mùi cua. 3k trà đá, 10 nghìn 3 cốc =))","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'FOOD#PRICES', 'DRINKS#PRICES']","['neutral', 'positive', 'positive', 'neutral']",bánh đa trộn b6 tt nghĩa tân điểm khác với mọi chỗ mình ăn là bât bưng ra nóng hổi kiểu ăn luôn và ngay mới ngon vắt tầm 3 quả quất mới đáp ứng độ chua của mình bánh đa mềm mà vẫn dai giò tai cắt miếng to ăn giòn giòn miếng chả cá hơi còi cọc ở đây hơi giống phùng nhưng ở chỗ là sẽ bị nhạt nên bạn gọi thêm xì dầu nhé 30 bát đầy đặn nước dùng khá thơm dậy mùi cua 3 trà đá 10 nghìn 3 cốc
