clean_comment,aspect,sentiments,VNESE_text_output
ngon tuyệt vời luôn,['FOOD#QUALITY'],['positive'],chất lượng đồ ăn tốt
ở quán cơm chay thuyền viên chỉ một từ thôi ngon vẫn rất giòn dù lúc tớ là 8h30 tối ăn rất ngon mùi lại thơm nữa nêm vừa ăn ăn chung tương ớt rất ngon không có tương xí muội giá ok 3k cuốn,"['FOOD#QUALITY', 'FOOD#PRICES']","['positive', 'positive']",chất lượng đồ ăn tốt và giá tiền món ăn tốt
ở quảng tên mấy tiệm mì quảng thường đặt tên theo người nấu ra nó vậy nên thấy cái mì quảng bà dũ đã cảm được chất của đà nẵng ngay từ cái nhìn đầu tiên rồi ngoài mì quảng quán còn rất nhiều món quảng rất ngon như bún cá cam bún bò đà nẵng chỉ xài thịt bò không có giò bún mắm nêm chè đậu ngự quán do 1 anh người quảng rất quảng nên món cũng rất quảng đặt cái tên dễ làm người ta nao lòng tô bé đẹp tô bé cưng cà phê tình mê bún mắm tình đắm nhìn mà phì cười quán rất thoáng mát nếu đang vội đừng tới đây ăn mà hãy chờ lúc nào thong thả quán gì đó muốn quên cũng khó,"['RESTAURANT#GENERAL', 'FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'AMBIENCE#GENERAL']","['positive', 'positive', 'positive', 'positive']",nhà hàng nói chung tốt và chất lượng đồ ăn tốt và lựa chọn đồ ăn tốt và không gian tốt
quán tên là cơm chay thuyền viên ăn rất ổn mùi thơm rau cải giòn mì căn không có mùi hôi dầu như nhiều chỗ mình hay ăn bị cái nước tương hơi dở nếu bạn nào chịu ăn lạt thì không cần thêm nước tương đâu giá cũng được 18 không đĩa ở đây còn bán rất nhiều món chay khác như cơm phở hủ tiếu bún thái các món ăn vặt chay phụ liệu nấu đồ chay ăn rất ổn,"['FOOD#QUALITY', 'FOOD#PRICES', 'FOOD#STYLE&OPTIONS']","['neutral', 'positive', 'positive']",chất lượng đồ ăn tạm và giá tiền món ăn tốt và lựa chọn đồ ăn tốt
quán trong hẻm nhưng ngay đường nguyễn cư trinh nên cực kì dễ tìm đồ ăn đa dạng ngon nhất vẫn là nem nướng giá cả hợp lý nhân viên phục vụ nhiệt tình nhất định sẽ quay lại nè,"['LOCATION#GENERAL', 'FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'FOOD#PRICES', 'SERVICE#GENERAL', 'RESTAURANT#GENERAL']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive']",địa chỉ tốt và lựa chọn đồ ăn tốt và chất lượng đồ ăn tốt và giá tiền món ăn tốt và phục vụ tốt và nhà hàng nói chung tốt
wagyu beef 360kg x 750g at minimum for đặt hàg nhen mình ăn medrare sauce chi đầu tiên trong menu 70k sauce ớt chuông rau với oliu oil sauce blue cheese béo ngon hình như 100k hơi nhẫn đắng cheese mặn đút lò ngon tên món quên òi không nhớ giá luôn ngon thơm salad anh không nhớ tên size nhỏ 100k rau cải ngựa và hành khoanh cheese sốt hành nồng khó ăn,"['FOOD#PRICES', 'FOOD#QUALITY']","['neutral', 'neutral']",giá tiền món ăn tạm và chất lượng đồ ăn tạm
đi vô đường chấn hưng xíu là quán bún thịt nướng hải đăng nổi tiếng hơn hẳn có nhiều quán lắm nha quán thuộc dạng bình dân sân nhà rộng giữ xe miễn phí 1 phần đầy đủ là 25k chả giò thịt nướng nem có 1 xô nước mắm inox trên mỗi bàn lưng muốn ăn bao nhiêu thì múc có thể gọi thêm dĩa bún thêm dành cho lưng ra sức ăn mặn ăn được phục vụ nhanh gọn có điều không nóng hổi do làm sẵn chuẩn bị trước hotgirl tính tiền tốt,"['LOCATION#GENERAL', 'RESTAURANT#GENERAL', 'AMBIENCE#GENERAL', 'RESTAURANT#MISCELLANEOUS', 'FOOD#PRICES', 'FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'SERVICE#GENERAL']","['neutral', 'positive', 'positive', 'positive', 'positive', 'neutral', 'positive', 'positive']",địa chỉ tạm và nhà hàng nói chung tốt và không gian tốt và vấn đề khác tốt và giá tiền món ăn tốt và lựa chọn đồ ăn tạm và chất lượng đồ ăn tốt và phục vụ tốt
quán ngay khu trung tâm khá đông nhất vào giờ ăn trưa phải book chỗ trước phần như hình là 12 bánh tráng phơi sương thịt giò 102k 1 phần thì là 173k dọn kèm bánh tráng phơi sương dẻo rau rừng tươi xanh dĩa đồ chua nước mắm mắm nêm ngoài ra quán còn có món tủ là bánh canh 55k cháo sò lông cái này mình chưa ăn nhưng thấy ai vô cũng gọi hết còn có chè khúc bạch không thể không nhắc ở ht trà đá 4kly khăn lạnh 2k quán nhiều khách nhưng nhân viên vô cùng niềm nở dễ thương nhà không thích là tính tiền giữ xe 3k thôi,"['LOCATION#GENERAL', 'FOOD#PRICES', 'FOOD#STYLE&OPTIONS', 'DRINKS#STYLE&OPTIONS', 'SERVICE#GENERAL', 'RESTAURANT#MISCELLANEOUS']","['positive', 'neutral', 'positive', 'positive', 'positive', 'negative']",địa chỉ tốt và giá tiền món ăn tạm và lựa chọn đồ ăn tốt và lựa chọn đồ uống tốt và phục vụ tốt và vấn đề khác tệ
trong hình là gà bó xôi truyền thống 280k xôi thơm dẻo bên ngoài giòn rụm gà dai dai ướp thấm gia vị đặt hàg trước 2 tiếng là giao tới nhà liền nóng hổi trong hộp bao bì hộp đựng sạch sẽ chắc chắn được thêm bao tay nilong để xé gà nữa nhân viên chuyên nghiệp dễ thương đặt hàg trên flyfood việt nam để tham khảo thêm menu nhà mình đặt 2 con gà 1 súp 1 bò hầm tiêu 1 gỏi củ hủ dừa hơn 1 triệu xíu mà 12 người ăn còn dư luôn nha bò hầm tiêu xanh ngon lắm lắm gỏi củ hủ dừa hơi ngọt xíu theo khẩu vị miền nam súp đậm đà có thịt nấm trứng cút nhiều lắm lần sau là thử thêm nhiều món khác nữa nè hi hi,"['FOOD#PRICES', 'FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'SERVICE#GENERAL', 'RESTAURANT#GENERAL']","['positive', 'positive', 'positive', 'positive', 'positive']",giá tiền món ăn tốt và chất lượng đồ ăn tốt và lựa chọn đồ ăn tốt và phục vụ tốt và nhà hàng nói chung tốt
vị trí quán nằm ngay mặt tiền đường sư vạn hạnh khá dễ tìm đồ ăn bánh bèo bánh bột lọc bánh nậm bánh ít ram nem huế chả huế các loại bánh thơm ngon có điều nước mắm hơi ngọt giá cả 30k mâm bánh bèo chén dĩa thì 24k như hình chưa có nem chả không gian quán bình dân hơi chật trời này mà ngồi hơi bị nóng quán đông hay bị thiếu bàn không có ai coi xe,"['LOCATION#GENERAL', 'FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'FOOD#PRICES', 'AMBIENCE#GENERAL', 'RESTAURANT#MISCELLANEOUS']","['positive', 'positive', 'neutral', 'neutral', 'negative', 'negative']",địa chỉ tốt và lựa chọn đồ ăn tốt và chất lượng đồ ăn tạm và giá tiền món ăn tạm và không gian tệ và vấn đề khác tệ
bên ngoài giòn giòn ăn cực thích bên trong cơm nhật với dưa leo trứng thanh cua mềm rất tuyệt,['FOOD#QUALITY'],['positive'],chất lượng đồ ăn tốt
cấp độ 3 đã đủ sức chịu đựng của mình ăn vừa nóng vừa cay cay mà toát hết mồ hôi hột vừa khẩu vị của mỗi người không gian có phần hơi chật nhưng thoáng và trang trí đẹp theo phong cách hường cuốc,"['FOOD#QUALITY', 'AMBIENCE#GENERAL']","['positive', 'neutral']",chất lượng đồ ăn tốt và không gian tạm
gà rán giòn ướp vị chua cay rất ngon bánh ăn kèm giòn và thơm mùi bơ,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","['positive', 'positive']",chất lượng đồ ăn tốt và lựa chọn đồ ăn tốt
lần đầu ăn ở đây thấy rất ngon mà cũng lạ chỗ mới mở tại vincom quang trung nên còn nhiều món chưa có nhưng ăn ở đây sẽ no căng luôn,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","['positive', 'positive']",chất lượng đồ ăn tốt và lựa chọn đồ ăn tốt
lần đầu ăn ở đây thấy rất ngon mà cũng lạ chỗ mới mở tại vincom quang trung nên còn nhiều món chưa có nhưng ăn ở đây sẽ no căng luôn tặng kèm cả cơm và canh nếu phần đó chỉ có đồ ăn,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'FOOD#PRICES']","['positive', 'positive', 'positive']",chất lượng đồ ăn tốt và lựa chọn đồ ăn tốt và giá tiền món ăn tốt
mì cay hàn quốc êi mì dai nah nhiều hải sản nah tôm mực nước dùng bao cay nah đáng đồng tiền lúc nha phục vụ nhiệt tình giá cả hợp lí nha,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'FOOD#PRICES', 'SERVICE#GENERAL']","['positive', 'positive', 'positive', 'positive']",chất lượng đồ ăn tốt và lựa chọn đồ ăn tốt và giá tiền món ăn tốt và phục vụ tốt
mì hến bắc hà nước hến ngon một số chỗ có dùng bột ngọt cho vào nước mì làm mất đi vị ngọt tự nhiên của hến không quá cay như bên mì hến ngô văn sở quán mát rộng rãi,"['FOOD#QUALITY', 'AMBIENCE#GENERAL']","['positive', 'positive']",chất lượng đồ ăn tốt và không gian tốt
xem qua chương trình ẩm thực của nghệ sĩ việt hương mình biết được quán này mình đi buổi tối quán động cực kì chỗ ngồi san sát nhau vì số lượng khách động nên việc ngồi chờ món lâu hơn vỏ bánh tráng mềm dai bánh nóng nên ăn liền sẽ ngon hơn,"['RESTAURANT#GENERAL', 'SERVICE#GENERAL', 'FOOD#QUALITY']","['positive', 'negative', 'positive']",nhà hàng nói chung tốt và phục vụ tệ và chất lượng đồ ăn tốt
phở cuốn khá chắc nhân nhiều nước chấm ngon 1 người ăn phần là vừa không no mấy bánh phở hơi cứng không dai trong 2 loại mình thích có nem hơn nem nướng đậm vị dùng với thêm nước chấm là tuyệt có nem 45k phở tôm thịt 38k,"['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'FOOD#PRICES']","['positive', 'neutral', 'neutral']",lựa chọn đồ ăn tốt và chất lượng đồ ăn tạm và giá tiền món ăn tạm
bánh cuốn tây hồ chất lượng tuyệt vời địa chỉ 127 đinh tiên hoàng đa kao q1 quán này nằm trên đường đinh tiên hoàng cũng đã rất lâu nổi tiếng nên chắc bạn nào mê bánh cuốn cũng đã từng dùng bánh cuốn tại đây về không gian không gian quán hơi nhỏ nhiều khi vào giờ cao điểm khách đến đông quá phải ngồi chung bàn với người khác hoặc phải đợi có chỗ mới được ngồi và không có máy lạnh chỉ có quạt máy nên cũng hơi nóng 1 chút về thức ăn 1 phần bánh cuốn tuy không nhiều nhưng vừa đủ no cực kì chất lượng chất lượng từ hình thức đến mùi vị hình thức trang trí bắt mắt mùi vị đậm đà với chả quế chả lụa về cung cách phục vụ có thể nói ở đây nhân viên phục vụ cũng khá chiều khách tận tình về giá cả có vẻ hơi đắt nhưng mà tiền nào của nấy bánh cuốn ở đây đã nổi tiếng từ lâu đời nên chuyện giá đắt như vậy cũng chấp nhận được nói chung là nên dùng thử bánh cuốn tại đây các bạn sẽ ghiền đấy,"['LOCATION#GENERAL', 'AMBIENCE#GENERAL', 'FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'SERVICE#GENERAL', 'FOOD#PRICES', 'RESTAURANT#GENERAL']","['neutral', 'negative', 'positive', 'positive', 'positive', 'neutral', 'positive']",địa chỉ tạm và không gian tệ và lựa chọn đồ ăn tốt và chất lượng đồ ăn tốt và phục vụ tốt và giá tiền món ăn tạm và nhà hàng nói chung tốt
bánh đa trộn b6 tt nghĩa tân điểm khác với mọi chỗ mình ăn là bât bưng ra nóng hổi kiểu ăn luôn và ngay mới ngon vắt tầm 3 quả quất mới đáp ứng độ chua của mình bánh đa mềm mà vẫn dai giò tai cắt miếng to ăn giòn giòn miếng chả cá hơi còi cọc ở đây hơi giống phùng nhưng ở chỗ là sẽ bị nhạt nên bạn gọi thêm xì dầu nhé 30 bát đầy đặn nước dùng khá thơm dậy mùi cua 3 trà đá 10 nghìn 3 cốc,"['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'FOOD#PRICES', 'DRINKS#PRICES']","['neutral', 'positive', 'positive', 'neutral']",lựa chọn đồ ăn tạm và chất lượng đồ ăn tốt và giá tiền món ăn tốt và giá tiền đồ uống tạm
meete có đang khuyến mãi combo mì udon hải sản với bánh mochi chỉ 49k mì udon ở đây hơi ít được khoảng nước dùng nấu sệt sệt đậm mùi hải sản có vị cay khá ít nên phù hợp với những người không thích ăn cay nhiều như mình tô mì khá chất lượng có hẳn 1 con ghẹ to luôn ở đó cơ mà con ghẹ mình ăn hơi ít thịt tô mì vừa được nấu ăn nóng hổi quán đi tối hơi bị đông đấy đi trưa như mình vắng cho bánh mochi ăn ok quán có bán sushi giá cũng khá ok cho sinh viên nữa,"['FOOD#PRICES', 'FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","['positive', 'neutral', 'positive']",giá tiền món ăn tốt và lựa chọn đồ ăn tạm và chất lượng đồ ăn tốt
meetsaigon đang có khuyến mãi mua 1 gà trái tim 60k được tặng 1 món đồng giá hoặc thấp hơn gà ở đây cũng làm theo style gà đài loan giống của oppa chicken nhưng so sánh thì vị bên đây đậm đà ăn thích hơn gà nóng hổi nên lớp da cắn vào giòn rụm gà trái tim chủ yếu là từ phần thịt ức gà thường ăn sẽ khô bở nhưng ở đây thịt vẫn rất mềm và dai gà viên 45k gia vị ướp thấm đều nhưng vì là mấy cục thịt gà nhỏ nhỏ thôi nên mình không thích lắm bánh khoai tây 28k vì được ướp hẳn gia vị vào trong nên rất ngon tiếc là khoai tây hơi bị bở trà bí đao uống ngọt thanh rất thích hợp để giải nhiệt sau khi ăn đống đồ chiên này điểm trừ của quán là không có tí rau củ ăn kèm nào nên ăn mấy đống đồ chiên này thì mình thấy hơi ngán giá cả rất sinh viên 15 60k cho 1 quán ở q 1 như thế này,"['FOOD#PRICES', 'FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'DRINKS#QUALITY', 'RESTAURANT#PRICES', 'LOCATION#GENERAL']","['positive', 'neutral', 'positive', 'positive', 'positive', 'positive']",giá tiền món ăn tốt và lựa chọn đồ ăn tạm và chất lượng đồ ăn tốt và chất lượng đồ uống tốt và giá cả nhà hàng tốt và địa chỉ tốt
cập nhật giá 1122015 phần 1 con cháo 35 000 phần 2 con cháo 70 000 phần 3 con cháo 90 000 có nước sâm 5k nước ngọt loại trà đá 2k quán lề đường sạch sẽ nấu ếch tại chỗ cho khách xem nhưng phụ vụ hơi lâu gọi tính tiền cũng lâu nữa ăn được ngon,"['FOOD#STYLE&OPTIONS', 'FOOD#PRICES', 'DRINKS#STYLE&OPTIONS', 'DRINKS#PRICES', 'AMBIENCE#GENERAL', 'SERVICE#GENERAL', 'FOOD#QUALITY']","['positive', 'neutral', 'positive', 'neutral', 'neutral', 'negative', 'positive']",lựa chọn đồ ăn tốt và giá tiền món ăn tạm và lựa chọn đồ uống tốt và giá tiền đồ uống tạm và không gian tạm và phục vụ tệ và chất lượng đồ ăn tốt
quán nằm ngay mặt tiền đường kì đồng quận 3 cực kì dễ kiếm quán có không gian rộng rãi với 2 lầu và 1 trệt món đặc trưng ở đây là bún bò siêu ngon và đúng chuẩn bún bò huế,"['LOCATION#GENERAL', 'AMBIENCE#GENERAL', 'FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","['positive', 'positive', 'positive', 'positive']",địa chỉ tốt và không gian tốt và chất lượng đồ ăn tốt và lựa chọn đồ ăn tốt
khác nhau cơ mà nhìn kiểu nào cũng ngon không tưởng,"['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","['positive', 'positive']",lựa chọn đồ ăn tốt và chất lượng đồ ăn tốt
phở thì quá nổi tiếng rồi từ sáng sớm đến tối muộn lúc nào cũng nườm nượp khách chỉ có tái lăn vị thịt bò xào và nước dùng đặc biệt không lẫn đi đâu được siêu nhiều thịt bò vừa no vừa ngon,"['RESTAURANT#GENERAL', 'FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","['positive', 'positive', 'positive']",nhà hàng nói chung tốt và chất lượng đồ ăn tốt và lựa chọn đồ ăn tốt
cho bữa sáng tân sinh hoạt ở một quán bình dân nhưng giá nhà hàg phần này 2kg mà giá 250 300k lúc tính tiền có tí choáng không dở nhưng cũng không xuất sắc không xứng với số tiền bỏ ra,"['LOCATION#GENERAL', 'AMBIENCE#GENERAL', 'RESTAURANT#PRICES', 'FOOD#PRICES', 'FOOD#QUALITY']","['neutral', 'neutral', 'negative', 'negative', 'neutral']",địa chỉ tạm và không gian tạm và giá cả nhà hàng tệ và giá tiền món ăn tệ và chất lượng đồ ăn tạm
này là tô lớn 25k ăn vậy với rau thôi không có bánh tráng như quán nào đó mình từng ăn thật ra thấy vậy cũng vừa rồi 3 quán do cô này ở quảng ngãi vô bán mọi người hiền lắm có ăn thêm đống 15k nữa mà quên chụp là bàn có cả greencross để rửa tay nữa,"['FOOD#PRICES', 'FOOD#STYLE&OPTIONS', 'SERVICE#GENERAL', 'AMBIENCE#GENERAL']","['neutral', 'neutral', 'positive', 'positive']",giá tiền món ăn tạm và lựa chọn đồ ăn tạm và phục vụ tốt và không gian tốt
đây là nước lẩu shabu và miso nha ở đây nhân viên cho điểm 10,"['FOOD#STYLE&OPTIONS', 'SERVICE#GENERAL']","['positive', 'positive']",lựa chọn đồ ăn tốt và phục vụ tốt
chả ngon,['FOOD#QUALITY'],['negative'],chất lượng đồ ăn tệ
ngon bổ rẻ khuyết là hơi xa trung tâm,"['FOOD#QUALITY', 'FOOD#PRICES', 'LOCATION#GENERAL']","['positive', 'positive', 'negative']",chất lượng đồ ăn tốt và giá tiền món ăn tốt và địa chỉ tệ
ngon mà rẻ nữa nhiều thịt vì mình không thích ăn cá có cả rau sống và bún nước chấm thì có gừng và lá chanh ớt,"['FOOD#QUALITY', 'FOOD#PRICES', 'FOOD#STYLE&OPTIONS']","['positive', 'positive', 'positive']",chất lượng đồ ăn tốt và giá tiền món ăn tốt và lựa chọn đồ ăn tốt
ăn quên cả lối về,['FOOD#QUALITY'],['positive'],chất lượng đồ ăn tốt
cảm ăn vào đỡ nhiều 5 món luôn toẹt vời,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","['positive', 'positive']",chất lượng đồ ăn tốt và lựa chọn đồ ăn tốt
tết nhất nên chỗ nào cũng đông chỗ này đông nghẹt người về lẩu thì nước dùng ngon hải sản ăn kèm khá ít cho giá 250k,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'FOOD#PRICES']","['positive', 'negative', 'negative']",chất lượng đồ ăn tốt và lựa chọn đồ ăn tệ và giá tiền món ăn tệ
vừa ngon vừa rẻ 2 đứa ăn xong mà muốn lăn về nhà luôn cho nó lẹ chứ đi hổng có nổi luôn quán chuyên về các món đặc trưng của đất nước xứ kim chi và cơm trộn hàn quốc thân yêu vì là các dành cho lứa học sinh sinh viên của bọn mình nên giá cả khá là mềm ngoài các vị thượng đế học sinh sinh viên ra thì quán cũng thuộc list những quán phải tới của giới văn phòng không gian thì trẻ trung thoáng mát phù hợp cho hội nhóm gặp mặt bạn bè còn thực đơn lại phong phú giá cả vừa phải mà lại còn ngon ngon nữa x,"['FOOD#QUALITY', 'FOOD#PRICES', 'FOOD#STYLE&OPTIONS', 'AMBIENCE#GENERAL', 'RESTAURANT#GENERAL']","['positive', 'positive', 'positive', 'positive', 'positive']",chất lượng đồ ăn tốt và giá tiền món ăn tốt và lựa chọn đồ ăn tốt và không gian tốt và nhà hàng nói chung tốt
lần đầu tiên mình ăn món này luôn cảm giác lạ lắm khi chú chủ quán mang nồi lẩu ra thì mình hơi bất ngờ vì nồi lẩu chỉ toàn là lá quế ớt và thịt gà do thịt gà trong lẩu là thịt gà đá nên khá là dai mình phải nhai nhai mãi mới đứt mí nhưng được cái bù lại là nước lèo khá là ngon chua chua cay cay như kiểu lẩu thái í trông nồi lẩu ớt ớt thế thôi chứ ăn cũng không cay lắm đâu mà nước còn hơi ngọt ngọt nữa cái lạ nữa là lẩu chỉ cần ăn với lá quế thôi chứ chả cần thêm rau cỏ gì khác nữa nói chung là mình chấm món này 8 510 điểm đó 3 đi nhiều nhiều mò nhiều quán kiếm được nhiều món lạ hơn,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","['neutral', 'neutral']",chất lượng đồ ăn tạm và lựa chọn đồ ăn tạm
lần đầu tiên mình ăn ở đây là được 1 người bạn mình quan tâm dẫn tới ăn ta nói nó vừa ngon mà lại vừa siêu ngon luôn p miếng thịt bò siêu bự nè nui xào hơi được giòn một tí nên ăn thích lắm tặng thêm điểm cộng cho món này vì rau khá là nhiều và mình thì rất thích ăn rau nhiều 1 tí 3 tuy giá có hơi cao hơn so với các quán khác nhưng được rất nhiều bò và ăn siêu thích luôn ý,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'FOOD#PRICES']","['positive', 'positive', 'neutral']",chất lượng đồ ăn tốt và lựa chọn đồ ăn tốt và giá tiền món ăn tạm
sườn heo non thịt khá dai nhưng bù lại được tẩm ướp các gia vị khá là kĩ lưỡng khi ăn thì thấy có vị cay cay the the của gia vị sả nhưng khi ướp thì lại không có sả khó hiểu hơn nói chung là hôm nào trời mưa mà đi nhậu ăn món này ngon quá trời luôn ý,['FOOD#QUALITY'],['positive'],chất lượng đồ ăn tốt
